"annotation_id","annotator","created_at","id","lead_time","review","sentiment","toxic","updated_at"
22,"1","2026-05-02T12:58:29.276162Z",23,3.471,"Пуловер получил, жена товаром категорически не довольна, везде торчат нитки , за любую потянешь , кофта начинает распускаться , цвет на картинке светло розовый , послали серо - розовый , брака очень много , доделок требуется очень много. Подвальная работа .","negative","OK","2026-05-02T12:58:29.276194Z"
23,"1","2026-05-02T12:58:30.927058Z",24,0.992,"Повязка пришла вовремя , но вся драная . Очень жаль. ","negative","OK","2026-05-02T12:58:30.927083Z"
24,"1","2026-05-02T12:58:32.224423Z",25,0.774,"заказ не пришёл!!!!!","negative","OK","2026-05-02T12:58:32.224454Z"
25,"1","2026-05-02T12:58:33.514426Z",26,0.783,"Товар не пришел","negative","OK","2026-05-02T12:58:33.514458Z"
26,"1","2026-05-02T12:58:35.296229Z",27,1.198,"ставлю 1звезду, т.к товар не пришел. ждала с мая по сентябрь. деньги вернули.","negative","OK","2026-05-02T12:58:35.296256Z"
27,"1","2026-05-02T12:58:38.640314Z",28,2.798,"ужасно! очень неудобный и в подмышках жмет
может он расчитан на маленьких девочек или девушек без груди.
Очень расстроена(","negative","OK","2026-05-02T12:58:38.640336Z"
28,"1","2026-05-02T12:58:41.270981Z",29,2.116,"ужас!!! заказ ждала 3 месяца он так и не пришел. продавец обещал что он придет постоянно продлевал дни доставки. потом я открыла спор  попросила деньги назад но ничего. вообщем кошмар.","negative","OK","2026-05-02T12:58:41.271018Z"
29,"1","2026-05-02T12:58:43.030602Z",30,1.125,"Товар так и не пришёл ((( продавец не вернул деньги (((","negative","OK","2026-05-02T12:58:43.030636Z"
30,"1","2026-05-02T12:58:44.655051Z",31,1.003,"Продавец обманщик,товар не пришёл,деньги не вернули","negative","OK","2026-05-02T12:58:44.655089Z"
31,"1","2026-05-02T12:58:47.094062Z",32,1.789,"Товар не соответсвует фото продавца. Заказывала свитер, а пришёл кардиган абсолютно другого фасона. Деньги не вернули. ","negative","OK","2026-05-02T12:58:47.094097Z"
32,"1","2026-05-02T12:58:49.403434Z",33,1.483,"К сожалению, заказ не отслеживается. Пропал... очень обидно... обратная связь с продавцом хорошая ","negative","OK","2026-05-02T12:58:49.403466Z"
33,"1","2026-05-02T12:58:52.646302Z",34,2.378,"плохо сшито, швы не ровные, нитки торчат, ткань колючая. спор закрыли не в мою пользу. модель сама по себе красивая, упаковано хорошо, по размеру подошло. но качество оставляет желать лучшего.","negative","OK","2026-05-02T12:58:52.646329Z"
34,"1","2026-05-02T12:58:54.222590Z",35,0.951,"Не держится, не прилипает, не выполняет свои функции. Выброс денег.","negative","OK","2026-05-02T12:58:54.222623Z"
35,"1","2026-05-02T12:58:56.746003Z",36,1.901,"Кофта шла с большими проблемами,  трек плохо отслеживался. Заказала XXL на свой 46 размер.  По сравнению с кофточкой я слон, т.к. эта вещь на девочку 10-ти лет.","negative","OK","2026-05-02T12:58:56.746031Z"
36,"1","2026-05-02T12:58:58.296472Z",37,0.939,"заказывала разного цвета, а пришли две одинаковые за это минус","negative","OK","2026-05-02T12:58:58.296500Z"
37,"1","2026-05-02T12:59:01.047610Z",38,2.147,"Ужасная тряпка для мытья полов. Отдала домработнице. Она правда себе взяла))) носить будет)))","negative","OK","2026-05-02T12:59:01.047635Z"
38,"1","2026-05-02T12:59:05.779964Z",39,4.197,"Отвратительная вещь! Хочу уже просить деньги обратно! Очень разочарована! Я такие некачественные вещи уже давно не видела! Совершенно не то что на картинке. Ужасный покрой проймы и воротника. Ничего в этом магазине никогда не буду брать. Я возмущена - как можно такое продавать людям!","negative","OK","2026-05-02T12:59:05.779995Z"
39,"1","2026-05-02T12:59:07.418984Z",40,1.031,"Увы( товар отличается от товара предлагаемого сайтом.","negative","OK","2026-05-02T12:59:07.419018Z"
40,"1","2026-05-02T12:59:09.295343Z",41,1.098,"Свитер бракованный, запаха нет,большая, но теплая доставка долгая.","negative","OK","2026-05-02T12:59:09.295374Z"
41,"1","2026-05-02T12:59:11.335439Z",42,1.404,"товар так и не пришел продавец даже не отвечал на смс","negative","OK","2026-05-02T12:59:11.335472Z"
42,"1","2026-05-02T12:59:17.181581Z",43,5.224,"заказывала два платья в день распродажи.одно из них пришло быстро
.а вот второе было отправлено совершенно в другой город.и его получил другой покупатель.открыла спор.целый месяц продавец пудрил мозги (((не ожидала от такого магазина бренда .Али экспресс вернул оплату за второе платье.в магазине очень разочарованна","negative","OK","2026-05-02T12:59:17.181612Z"
43,"1","2026-05-02T12:59:18.941368Z",44,1.146,"по заказаному размеру я вписывала
сь с запасом в 5 см.Но даже не натянула!","negative","OK","2026-05-02T12:59:18.941402Z"
44,"1","2026-05-02T12:59:20.328767Z",45,0.747,"товар не пришел
деньги не вернули","negative","OK","2026-05-02T12:59:20.328796Z"
45,"1","2026-05-02T12:59:21.877002Z",46,0.995,"продовец хотел кинуть товар типо выслал ток в другую точку мира","negative","OK","2026-05-02T12:59:21.877038Z"
46,"1","2026-05-02T12:59:26.637389Z",47,4.215,"Товар сначался ушёл в Латвию,  потом в какой то город,  вроде Гусев.  Защита закончилась,  спор не открывается,  ни денег,  ни товара!!!!  Не рекомендую!!!!!!!!  Лучше взять на несколько рублей дороже у другого продавца,  зато вещь будет у тебя.  Не рекомендую!!!!!!!!!!!","negative","OK","2026-05-02T12:59:26.637419Z"
47,"1","2026-05-02T12:59:28.882266Z",48,1.628,"очень не довольна этим продавцом!Второй раз заказывала эту кофту и оба раза она не пришла. Хоть деньги вернули.","negative","OK","2026-05-02T12:59:28.882295Z"
48,"1","2026-05-02T12:59:30.470993Z",49,0.987,"толстовка дырявая, швы не прошиты вообще,","negative","OK","2026-05-02T12:59:30.471018Z"
49,"1","2026-05-02T12:59:32.250133Z",50,1.191,"послали по другому адресу,  пришлось ставить на спор. недовольна продавцом!","negative","OK","2026-05-02T12:59:32.250164Z"
50,"1","2026-05-02T12:59:36.414270Z",51,3.461,"Размеры не соответствуют заявленным. Заказала xl,а пришла маленькая как s. Отдала худющей сестре. Заказом не довольна. ","negative","OK","2026-05-02T12:59:36.414299Z"
51,"1","2026-05-02T12:59:43.754170Z",52,6.71,"Заказанный товар пришел не того цвета. Я заказывала цвет navy, а получила navy2 - это очень темный цвет. В нашем споре я так и не смогла это доказать Продавец сказал, что я такой цвет и заказывала. .Я просила вернуть деньги за товар - они не согласились. Я хотела сделать возврат товара за их счет - они тоже не захотели. В общем, я осталась без товара и без денег. Я очень недовольна этим магазином.","negative","OK","2026-05-02T12:59:43.754202Z"
52,"1","2026-05-02T12:59:45.756652Z",53,1.355,"Товар не пришёл.Продавец тянул время.По лось открывать спор.Экспресс вмешался.Деньги вернули.","negative","OK","2026-05-02T12:59:45.756676Z"
53,"1","2026-05-02T12:59:47.497688Z",54,1.21,"Заказала L...мал((( идет на 46 р. Качество хорошее. Аккуратнее с размером","negative","OK","2026-05-02T12:59:47.497721Z"
54,"1","2026-05-02T12:59:48.941555Z",55,0.831,"Товар не получила. Открыли спор","negative","OK","2026-05-02T12:59:48.941587Z"
55,"1","2026-05-02T12:59:51.338897Z",56,1.812,"Толстовка абсолютно не такая как на фото. Очень маленькая, а на фото смотрится балахоном. Размер XXL. Качество тоже не очень. Вообщем не советую","negative","OK","2026-05-02T12:59:51.338929Z"
56,"1","2026-05-02T12:59:53.083094Z",57,1.103,"кофта не совпадает с фото в интернете к сожалению....","negative","OK","2026-05-02T12:59:53.083123Z"
57,"1","2026-05-02T12:59:54.897509Z",58,1.201,"платье не пришло в мае заказала все лето ждала и не пришло вернули деньги это плюс.","negative","OK","2026-05-02T12:59:54.897538Z"
58,"1","2026-05-02T12:59:56.831361Z",59,1.304,"заказ не отслеживался, продавец вообще не шел на контакт. 2 месяца зря прождала","negative","OK","2026-05-02T12:59:56.831394Z"
59,"1","2026-05-02T12:59:59.663663Z",60,2.191,"на фото все выглядело гораздо лучше чем оказалось в реальности. размер который я заказала оказался не просто большим а огромным!","negative","OK","2026-05-02T12:59:59.663694Z"
60,"1","2026-05-02T13:00:04.946224Z",61,4.569,"штаны классные,  дочке подошли с небольшим запасом,  внутри небольшой начес,  но сам материал тонковат. 
Сняла звезды за то,  что штаны пришли с браком: там где шов слишком мало ткани на припуск и были не прошиты,  и прошить сложно,  так как материал в этом месте без запаса и даже зацепиться не за что,  чтобы прошить.  Открыла спор,  но деньги не вернули.  
Хоть бы смотрели,  что отправляют.  Обидно  - деньги на ветер.","negative","OK","2026-05-02T13:00:04.946262Z"
61,"1","2026-05-02T13:00:07.313446Z",62,1.771,"первый раз столкнулась с подобным обманом,, прислали пустой пакет. спор открыла сразу,, но решение не в мою пользу (крайне разочарована в людях","negative","OK","2026-05-02T13:00:07.313481Z"
62,"1","2026-05-02T13:00:13.628610Z",63,5.774,"Леггенсы ужасть. Ткань еще норм, но выкроны одинаково что спереди что сзади, так что не садятся на женскую фигуру как надо и везде собираются складками, хотя фигура у пеня нормальная. В икрах плотно, попу расплющили, под попой и в паху складки, талия высокая и свободная. Такие вещи лучше мерить перед покупкой. Если вы любите что бы сидело хорошо - не берите. ","negative","OK","2026-05-02T13:00:13.628648Z"
63,"1","2026-05-02T13:00:15.591034Z",64,1.32,"Заказ пришёл изначально в другой город ,ждала очень долго из за этого, продавец не общался!!!","negative","OK","2026-05-02T13:00:15.591061Z"
64,"1","2026-05-02T13:00:17.734568Z",65,1.579,"Приехал платок половина его а вторую половину себе видно оставили это ужас ","negative","OK","2026-05-02T13:00:17.734605Z"
65,"1","2026-05-02T13:00:20.858913Z",66,2.459,"Платье пришло с браком!!!! Продавец не отвечает и не вооачивает деньги!!! Ужасный продавец, заказывать у него больше никогда не буду, все очень плохо!!!!!","negative","OK","2026-05-02T13:00:20.858949Z"
66,"1","2026-05-02T13:00:22.621669Z",67,1.146,"не стоит покупать. лучше переплатить и купить норм кофту","negative","OK","2026-05-02T13:00:22.621699Z"
67,"1","2026-05-02T13:00:27.335318Z",68,4.107,"Доставка быстрая-единственный плюс.
Платье тонкое! Не на осень даже, а на лето. Таблица размеров не совсем точная, платье великовато. Карманов нет, это ""обманка"". Длина на рост 165- ниже колена. В общем я осталась недовольна, т.к. заявлено,что платье тёплое.","negative","OK","2026-05-02T13:00:27.335351Z"
68,"1","2026-05-02T13:00:29.803231Z",69,1.557,"рост туловища явно не на наших девченок) пошить очень криво","negative","OK","2026-05-02T13:00:29.803263Z"
69,"1","2026-05-02T13:00:31.514541Z",70,1.084,"заказа не получила, деньги не вернули!","negative","OK","2026-05-02T13:00:31.514566Z"
70,"1","2026-05-02T13:00:33.231848Z",71,1.194,"Велико","negative","OK","2026-05-02T13:00:33.231882Z"
71,"1","2026-05-02T13:00:36.984816Z",72,3.137,"Посылки нет уже 3 месяца.Продавец уверяла ,что в пути.Номер не отслеживался.Открыла спор.Продавец просил закрыть.Вмешалась служба алиэкспресс.Они решили вернуть мне деньги.Поэтому ни одной звезды.","negative","OK","2026-05-02T13:00:36.984850Z"
72,"1","2026-05-02T13:00:38.539054Z",73,0.866,"Заказ не прислали! Деньги не вернули!","negative","OK","2026-05-02T13:00:38.539086Z"
73,"1","2026-05-02T13:00:40.180567Z",74,0.929,"не подошел размер хотя заказывала самый большой","negative","OK","2026-05-02T13:00:40.180598Z"
74,"1","2026-05-02T13:00:42.214469Z",75,1.379,"выглядит дешево,рукава в обтяжку,а на картинке свободные,учитывая что я худее модели на фото продавца","negative","OK","2026-05-02T13:00:42.214498Z"
75,"1","2026-05-02T13:00:46.014869Z",76,3.161,"Товар так и не пришел, продавец дал левый трек который отслеживался - что его давно получили в другом городе, когда я ему написала сказал что все прийдет, но ничего так и не пришло. Обман","negative","OK","2026-05-02T13:00:46.014893Z"
76,"1","2026-05-02T13:00:47.509547Z",77,0.969,"пятно не отстирать и на самом видном месте","negative","OK","2026-05-02T13:00:47.509576Z"
77,"1","2026-05-02T13:00:50.491787Z",78,2.386,"очень не довольна!совсем не то ч
то на фото и не такая как в отзывах!увидела бы в магазине не взяла бы ни за что!","negative","OK","2026-05-02T13:00:50.491814Z"
78,"1","2026-05-02T13:00:56.596067Z",79,5.556,"Ужасное платье. Тонкая прозрачная синтетика самого низкого качества. Продавец очень долго отправлял заказ, отправил в последний день назначенного срока! Несколько раз пыталась по этой причине отменить заказ, но продавец говорил, мол, уже отправил. Качество, повторяю, ужасно, носить не буду, висит мешком. И цвет вообще не соответствует картинке.","negative","OK","2026-05-02T13:00:56.596096Z"
79,"1","2026-05-02T13:00:57.974710Z",80,0.851,"На все ногу стрела,очень не довольна ","negative","OK","2026-05-02T13:00:57.974757Z"
80,"1","2026-05-02T13:01:00.626356Z",81,2.017,"Это не платье не стоит и 200 рублей. Кружево просто обрезано не обработано, подклад ужасный пришит как то и где то-выбросить и забыть","negative","OK","2026-05-02T13:01:00.626399Z"
81,"1","2026-05-02T13:01:09.139224Z",82,7.905,"Продавец кормил завтраками и уверял, что посылка пришла. Итог: на сообщения не отвечает, трек не отлеживался изначально, деньги возвращать отказывался. Спасибо али за разумное решение спора и деньги вернут. Не заказывайте у этого продавца, он настоящий мошенник, вор и врун! ","negative","OK","2026-05-02T13:01:09.139253Z"
82,"1","2026-05-02T13:01:11.984471Z",83,2.145,"Размер брала l чтобы было свободно.В итоге все обтягивает и еще короткое для роста 170 . Не такое как на картинке","negative","OK","2026-05-02T13:01:11.984504Z"
83,"1","2026-05-02T13:01:19.767129Z",84,7.143,"НЕ СВЯЗЫВАЙТЕСЬ НАРОД С ЭТИМ +ПРОДАВЦОМ, ЭТО ПРОСТО МОШЕННИК!!!
ДЕНЬГИ СНЯЛИ, НИ НА ОДНО МОЁ СМС НЕ ОТВЕТИЛИ-ПОЛНЫЙ ИГНОР С ИХ СТОРОНЫ, СООТВЕТСТВЕННО НИКАКИХ ДЕНЕГ МНЕ НЕ ВЕРНУЛИ, А У МЕНЯ БРИЛЛИАНТОВЫЙ УРОВЕНЬ- это ускоренный возврат и обработка споров!","negative","OK","2026-05-02T13:01:19.767161Z"
84,"1","2026-05-02T13:01:22.070724Z",85,1.63,"ТОВАР ОЧЕНЬ ПОХОЖ НА КАРТИНКУ. НО СИНТЕТИКА НА 100%, И ОЧЕНЬ КОРОТКИЙ","negative","OK","2026-05-02T13:01:22.070807Z"
85,"1","2026-05-02T13:01:23.478391Z",86,10.626,"Воняет, ткань гавно, короткие","negative","TOXIC","2026-05-02T13:01:36.105601Z"
86,"1","2026-05-02T13:01:48.523626Z",87,5.607,"Пальто не довольна. Крой абсолютно не соответствует модели, поэтому она не сидит, как нужно, просто весит мешком. На фото представлен оригинальный итальянский пуховик. Воротник на пуговицах, по краям вообще не держится! Необходимо отдавать в профессиональную мастерскую, чтобы вещь доводили до ума. Не рекомендую эту модель для стройных, она не будет сидит должным образом.","negative","OK","2026-05-02T13:01:48.523656Z"
87,"1","2026-05-02T13:01:50.934831Z",88,1.769,"Я ожидала другого, качество плохое, на них оказалась дырка и я сразу их выбросила, вторые были получше.","negative","OK","2026-05-02T13:01:50.934865Z"
88,"1","2026-05-02T13:01:53.407981Z",89,1.831,"Модель интересная,но качество ожидает желать лучшего. Не стоит своих денег(на рынке китайском висят по 600 руб. И ждать не нужно.","negative","OK","2026-05-02T13:01:53.408014Z"
89,"1","2026-05-02T13:02:04.206061Z",90,10.15,"Очень красиво описываете ,но мне не подошло не по размеру я в него просто не влезла хоть и худенькая, стройная .
Отдала ребенку 12 лет и на эту костявую худышку еле натянули и не до конца.У девочке платье вечернего нет в незастегнутом состояние она решила оставить себе.Но если так и в следущий раз будет отправлю вам плохо описываете размеры и нет качество матеряла это очень плохо !!! 
 Доставка 800 рублей,писали 1166,92.
Очень давольна за быструю доставку огромное спасибо.","negative","OK","2026-05-02T13:02:04.206098Z"
90,"1","2026-05-02T13:02:06.271901Z",91,1.416,"Качество отвратительное","negative","OK","2026-05-02T13:02:06.271930Z"
91,"1","2026-05-02T13:02:08.030333Z",92,1.127,"Товар не пришел, деньги вернули только через спор","negative","OK","2026-05-02T13:02:08.030371Z"
92,"1","2026-05-02T13:02:09.406967Z",93,0.751,"шорты не пришли .","negative","OK","2026-05-02T13:02:09.407001Z"
93,"1","2026-05-02T13:02:10.840729Z",94,0.749,"Я не получила товар вообще!","negative","OK","2026-05-02T13:02:10.840767Z"
94,"1","2026-05-02T13:02:12.717580Z",95,1.322,"продавец не прислал заказ и деньги не вернули не рекомендую этого продавца","negative","OK","2026-05-02T13:02:12.717612Z"
95,"1","2026-05-02T13:02:16.014123Z",96,2.643,"тонкая ткань. пошив кошмар. впереди сборит, .короткие. еще и мега клеши ко всему!! в общем даже на дачу стыдно..)..","negative","OK","2026-05-02T13:02:16.014162Z"
96,"1","2026-05-02T13:02:19.903828Z",97,3.264,"Заказывала все согласно размеру , пришло S как на маленького ребёнка! Может М была бы как раз , а так рукав 3/4 , короткая до пупка. Хотя к меня 42-44! Незнаю деньги на ветер по поему! Короче ткань тоже подкачала швы торчат! Думала на футболку буду одевать.... ","negative","OK","2026-05-02T13:02:19.903867Z"
97,"1","2026-05-02T13:02:23.649113Z",98,2.731,"Продавец ужасный ! Футболка не пришла !!! Деньги не вернули !!! Челябинск !!!!!!! Больше не закажу у него ни чего !!!","negative","OK","2026-05-02T13:02:23.649143Z"
98,"1","2026-05-02T13:02:26.025199Z",99,1.777,"Совершенно безответно! Отправил не все что я оплатила! Деньги возвращать не хочет! Ещё раз отправить товар отказался! ","negative","OK","2026-05-02T13:02:26.025222Z"
99,"1","2026-05-02T13:02:28.290366Z",100,1.727,"Товар не пришел, деньги вернули. ","negative","OK","2026-05-02T13:02:28.290402Z"
100,"1","2026-05-02T13:02:35.859936Z",101,6.93,"Неудачно подобрана картинка в качестве описания товара! На самом деле джинсы по фасону широкие в талии и больше подойдут девушкам невысокого роста с широкими бедрами.  По составу очень добротные - преобладает хлопок, но и эластана достаточно, что бы коленки сразу не вытягивались. Цвет насыщенно черный.  Размерная сетка неточная на размер, а учитывая свободу кроя в талии и в бедрах даже на два. Я брала по размерной сетке на 44 (российский), а оказались на 48 размер. Продавцом довольна! Спасибо за Вашу работу!","negative","OK","2026-05-02T13:02:35.859968Z"
101,"1","2026-05-02T13:02:40.451081Z",102,3.93,"Трек отслеживался. На мой 48 размер- XL маловат. Мне не уютно, хочется по длинее и свободней. Кофточка хорошего качества, Рукава как раз, не короткие. После стирки не села . Состава не бв","negative","OK","2026-05-02T13:02:40.451113Z"
102,"1","2026-05-02T13:02:43.607450Z",103,2.511,"Не стоит заплаченных денег((( ткань плохая, полоска чёрная на самом видном месте","negative","OK","2026-05-02T13:02:43.607483Z"
103,"1","2026-05-02T13:02:45.919239Z",104,1.635,"Майка не отслуживалась и я Ее не получила в итоге мне вернули деньги","negative","OK","2026-05-02T13:02:45.919277Z"
104,"1","2026-05-02T13:02:48.078861Z",105,1.232,"качество очень плохое.  непонятно из чего сделано","negative","OK","2026-05-02T13:02:48.078890Z"
105,"1","2026-05-02T13:02:49.701828Z",106,0.99,"За 3 месяца ничего так и не пришло. Худший продавец!!!!","negative","OK","2026-05-02T13:02:49.701861Z"
106,"1","2026-05-02T13:02:52.441854Z",107,2.063,"Воротник криво пришит, было обидно поскольку отзывы были хорошие.","negative","OK","2026-05-02T13:02:52.441889Z"
107,"1","2026-05-02T13:02:54.140245Z",108,1.024,"Размер не подошёл , заказывала ХL, очень огромный на мой вес 50 кг","negative","OK","2026-05-02T13:02:54.140277Z"
108,"1","2026-05-02T13:03:04.942057Z",109,10.143,"сначала обрадовалась, что вроде и отзывы плохие, а продавец исправился, стал высылать епакетом. выслать то он выслал, только в другой город! долго препирались, говорил что нужно подождать! чего подождать, пока майка сама ко мне придёт?!) в общем, отзывы плохие-это походу правда","negative","OK","2026-05-02T13:03:04.942088Z"
109,"1","2026-05-02T13:03:10.842202Z",110,5.254,"Продавец выслал подделку отвратительного качества. Когда открыла спор и попросила вернуть часть денег в виде компенсации, то деньги продавец не вернул, не подал ни звука, ни сообщения. Ноль реакции. Ни в коем случае с ним нельзя работать.","negative","OK","2026-05-02T13:03:10.842225Z"
110,"1","2026-05-02T13:03:12.693679Z",111,1.318,"Ужасное качество, такое ощущение, что тряпку положили ","negative","OK","2026-05-02T13:03:12.693709Z"
111,"1","2026-05-02T13:03:16.402462Z",112,3.149,"синтетика галимая, за такие деньги можно было и из хлопка сшить. цвет намного темнее, чем должен быть","negative","OK","2026-05-02T13:03:16.402494Z"
112,"1","2026-05-02T13:03:18.601077Z",113,1.607,"Жаль, товар так и не пришёл .Но продавец сразу вернул денежку . За это ставлю 5","negative","OK","2026-05-02T13:03:18.601109Z"
113,"1","2026-05-02T13:03:20.646593Z",114,1.426,"Размер не соответствует.
На рост 168, размер 42-44 взяла М. оказалось мало. Присутствует посторонний запах.","negative","OK","2026-05-02T13:03:20.646625Z"
114,"1","2026-05-02T13:03:23.104633Z",115,1.825,"Изначально знала о плохом качестве вышивки по отзывам, но рукава просто  добили... Спор открыть не смогла фото и видео не загрузились.","negative","OK","2026-05-02T13:03:23.104664Z"
115,"1","2026-05-02T13:03:25.017923Z",116,1.284,"ворот большой кривенькая косенькая гасить не буду не советую брать эту вещь ....","negative","OK","2026-05-02T13:03:25.017956Z"
116,"1","2026-05-02T13:03:29.283803Z",117,3.649,"майка классная,но исполнение очень хромает. все розы с зацепками,сеточка на которой пришиты розы сбоку разорвалась и будет рваться дальше. я очень расстроена. такую вещь даже не оденешь,сбоку в сетке уже видна дыра и нитки распускаются.","negative","OK","2026-05-02T13:03:29.283832Z"
117,"1","2026-05-02T13:03:33.171190Z",118,3.165,"товар пришёл с браком. Продавец отказался  идти на контакт.Открыла спор. Продавца не рекомендую, лучше заказать у других","negative","OK","2026-05-02T13:03:33.171222Z"
118,"1","2026-05-02T13:03:35.786581Z",119,1.976,"Продавец очень долго не отправлял товар, открыла спор, чтобы вернули деньги. Спор закрыли, ни товара, ни денег. Продавца не советую","negative","OK","2026-05-02T13:03:35.786620Z"
119,"1","2026-05-02T13:03:39.061649Z",120,2.618,"соответствует только цвет,ткань не шифон,плотная очень, вырез горловины очень узкий,доставка быстрая.","negative","OK","2026-05-02T13:03:39.061682Z"
