text,label
"господи, кто это выложил? срасибо огромное вам! это наш любимый сосед и друг. умница, красавец! на гармони играл так, что сердце выпрыгивало из груди, слушая его. а ведь самоучка, но фору даст любому специалисту с дипломом! а какой он был охотник, грибник, он вообще чудеснейший человек, про которого можно рассказывать сутками. красоты был неописуемой, с очаровательной улыбкой и обворожительными ямочками на щёчках! а каких дочерей-красавиц произвёл на свет, сказочных просто! лежит рядом с любимыми и любящими родителями. и снова мы соседи, т.к. наши родители рядом с ним покоятся. царствие небесное, любимый павлик! помним, любим, скорбим!",OK
"тварь.это слабо сказано.эту суку шлюху подзаборную,вообще надо отдать народу чтобы ее растерзать.так и хочется по ее еблище сапогом 48 размера пройтись.и обоссать.тварь.ничтожество.придет их время.им скоро пизда придет.",TOXIC
вот умный дядька вот у кого поучится то надо как за себя постоять как отстаивать свои права послушайте его и про путина правильно он сказал его расстрелять надо за одну эту пандемию ая быэтого путина сома лично бы на куски порвала за то что он падла вытворяет люди смотрите и включайте мозги,TOXIC
ты сказала что ебёшь голову людям,TOXIC
а ни пидарок ли случаем з ты,TOXIC
конечно надо таких блядей искорять из жизни........,TOXIC
вы сами себя слышите..почему же власти и их окружение лечатся за рубежем..а почему мы собираем всей страной на лечение детей за границей,OK
"а до грефа,васильевой и чубайса дороги были гладкие и ровные.ох не в ег тут дело.",OK
я возьму.позвоните мне 89042611908,OK
а что их отбеливать в стиралку и на 90 градусов белее белого,OK
вот она радость как выглядит!✌ 🍉 (lo),OK
молодцы! так держать! вы лучшие!,OK
ты наверное мужик под женским ником.,OK
"спасибо,вы подсказали как не нужно делать,чтобы потом с вышкой не мыть туалеты в европе.постараемся сохранить то что у нас называется родиной!",OK
"спасибо, а в каких числах детские приходят и многодетка, не знаете?",OK
"передам дочери.. вперёд моя хорошая на 26 этаж.. коляска в правой руке, ребёнок в левой, если устанешь можешь поменять стороны, а уж пакет с чем - нибудь, как обычно в зубы... 🤔🙄😳😀👍...",OK
размер серёг?,OK
оплатила 03.08.2020 в 21-44 сумма 728 руб через сбол людмила георгиевна п.,OK
просто чудо золотые руки,OK
"вы сейчас пошутили, столько мужик пил и резко бросил , это ж знаете к чему приводит,да и невериться чтоб сейчас не пьёт. мне очень нравится как ведёт программу 60мин ольга ,она прямолинейно говорит.",OK
мы кнопка запихать о хvев врот гадмину ио со,TOXIC
наша госсистема легко позволяет саморазвитие. не всякие зоофелизмы прочие либирализмы нет и то если ярко выраженны.на хренна выходить из системы.а вот куда ты не прав это главное.хотя если подросток .против лишь бы против.,OK
"плутин х. й в бункере дрожит, а не рулит.",TOXIC
кот валеры обожрался,OK
сбербанк онлайн чек по операции сбербанк онлайн перевод с карты на карту с дата операции зооо врв ремя операции мски о оо номер документа ббзч отправитель vиsа сlаssис бчч получатель п карты оз руб сумма операции чоо комиссия о оо руб код авторизации з фио анастасия сергеевна п пао сбербанк россии операция выполнена,OK
четвертовать падаль.!!!,TOXIC
нужна синяя змея. запрос через 5мин,OK
"спасибо всем,уже заказали.",OK
"этого мудака нужно было посадить давно на нары и пожизненно. чтобы он почувствовал, как там на киче сидеть????? и не давать ему ни с кем общаться. на самоизоляцию, как нас тут принуждали. таук у нас оправдано, а его нужно было посадить намного раньше.",TOXIC
я всегда писала батька дешевая полит проститутка и у него то и проявляется маразм и деменция.,TOXIC
душераздирающая история. ведь так нельзя...,OK
"молодцы, девчата!",OK
✌ссаным дрочерам привет :d,TOXIC
пригласите пожалуйста на картошку! очень надо.,OK
ну просто лапаухий капец!!!,OK
вот оно спасение мира от белкового голодания!,OK
"а почему бы и нет? если положено, пусть получает. правильно всё делает.",OK
убираюсь сразу и что после ремонта и срач что сын мне к приезду подарок.,OK
"не ублюдок, вонючий козёл!",TOXIC
"мозги не освоила, а на луну рыпается;) ;) ;)",OK
масло когда наливать?,OK
находился под домом офицеров.,OK
"к врачу, пожалуйста..",OK
"ага, давайте про любовь ребята.",OK
хуеглотка путинская он танки на помощь ельцыну отправлял по приказу собчака,TOXIC
"даже животные понимают, что в трудную минуту нужно помочь.",OK
оплатила наталья владимировна г,OK
"никогда не прикладывайте чеснок к коже, очень долго лечится рана от него",OK
"беларусь была заточена на всё ссср. благодаря батьке сохранилась как работающая страна. этот высокомерный вой про нахлебников, вымогателей и т.п. - бессовестная чушь. зарплаты и пенсии в рб гораздо меньше чем в рф. в россии олигархи не правят, а в отношениях с братской беларусью всё отдано торгашам. не ужели ни чему не учит украина. а слабо продавать нефть и газ как в россии?",OK
"синдром дальнобойщика:) , только он где-то через 20 минут наступает после кофе.засыпают ребята на дороге,но это от растворимого.натуральный лучше бодрит.",OK
"я прочитал этот отрывок из книги андреева. он не противоречит воспоминаниям вайнеров. высоцкий просто как красна девица набивал себе цену, выпрашивал себе идеальные условия для съёмок, торговался и хитрил. говорухин, конечно, намучился с ним. высоцкий был человеком не надёжным, не постоянным, способным нарушить данное слово, подвести в любую, даже в самую ответственную минуту.",OK
"девочки,выкладывайте свои фото ,так приятно вспоинить;)",OK
"лето, оно такое- кому мальдивы, а кому и поработать пришлось! // трудяжка наша 😘 🙏 💪 🏆 🏆 🏆",OK
а рожала что каждый год? молодец мама!,OK
наказать мерзавца по строгости закона чтоб другиме знали наказать героя,TOXIC
"и по коколенд напомните, пожалуйста, когда ожидается приход? он, вроде, в пути был. думаю, записываться на отправку колабер школа или подождать уже коколенд.",OK
"за отца соглашусь, на такой работе и сейчас хорошо платят.",OK
"надо открыть, с телефона не получается....",OK
"только не этой содой, в этих пачках настоящей соды 26%., ею можно чистить посуду. покупайте в аптеках или в больших супермаркетах в таких красных пластмассовое баночках, она дороже, правда!",OK
"этому быстро учишься, поверьте.",OK
"если нет неврологии , тогда проблема только в режиме дня . больше гуляйте на улице !",OK
хватит жрать,OK
глупость зашкаливает что они там курят?,OK
когда галстук был на груди-гордость была во всем!!!! 👍👍,OK
правильно илия,OK
да это 200 и больше.,OK
"если это правда, то да!!!!🙏🙏🙏",OK
"придурок? видимо ты один из защищающих их хуесосов. продолжайте дальше сосать молча в стороне. а люди всегда будут высказывать своё мнение об этмх мразях. и вобще, создайте свою группу путинских жополизов и там выясняйте, кто из вас лучше лижет",TOXIC
"засилье автомобилистов ,для них вырубают деревья .какие велодорожки ,окститесь !",OK
а чего ж папа цепкало с детьми сразу рванул в россию? и почему на телеканале ббк давал интервью?,OK
бабуля конечно молодец. но уж очень это фото похоже на фотошоп,OK
"кто заказывает в интернет магазине, добавляйтесь https://chat.whatsapp.com/k1odtygdp6icmv83ukotip",OK
лучше немного поджаритьв духовке.,OK
"спасибо, одеялко подложила",OK
мои любимые...,OK
"что за тварь проявилась здесь? недобитый власовец? иуда зарабатывающий тридцать серебрянников? шавка навального? ах, это северин дима!",TOXIC
аж мурашки по телу... стих прекрасный😇👍,OK
похуй. что много на земле ;? брошенные женщины,TOXIC
"сначала пьют, потом дерутся.",OK
"лимон, ликер, лук, лангустин, лосось,лайм, лавровый лист.",OK
очень симпатично :d,OK
"ребята,это не просто рыбак это по-видимому еще и волшебник при силе и мощи крокодила удержаться в такой лодке просто смешно.",OK
"а тесто успеет переиграть, или потом, как-нибудь, у нас в желудке? во всех старых поварских книгах в рецепте дрожжевого теста обязательным условием было троекратное обминание, и только, когда снижалась активность теста и начинал исчезать запах спирта, можно было приступать к выпечке. скороспелое, невыдержанное тесто очень вредно для желудка, прямая дорога к гастриту!",OK
я не могу игра не грузит (((,OK
снег был или нет?,OK
вот молодцы просто здорво!!! счастья вам дорогие детки чтобы росли и радовали своих родителей!!!. а вам папе с мамой огромного здоровья и всех благ,OK
"если перевести лицо на душу, она чем то меня напоминает 🤨🤪🤪🤪😅😅😃",OK
хотелось бы съездить на море,OK
"а я увидела в первую очередь гроб, дом увидела только после прочтения коментов (fr)",OK
вот это талантливый спартсменкса,OK
выебу,TOXIC
"ласка-это отмывании денег! жаль, что год назад уехала из барнаула, а то бы эту тему не оставила бы, софия по-моему, её зовут, охуевшая дама! собачку не бросайте, пожалуйста, у меня три, не могу взять. может как то ещё помочь могу? ветклиника хорошую знаю, сама там 12 лет собак своих и кота лечила.",TOXIC
седина в бороду - бес в ребро!,OK
"я купила ее в отделе семена и посеяла ,все взошло.",OK
отпустил ?,OK
а я в новосибирске тоже могут дать,OK
"есть зомбоящик, там тоже показывают кино. чего куда то переться?",OK
"с праздником!!!я росла в семье почетного железнодорожника !!! мой отец отработал достойно 50 лет на железной дороге ( с 16-ти летнего возраста). всегда пользовался большим уважением и признанием в коллективе ! на всю жизнь остались в памяти те тепловозные гудки, под которые проводили папу в последний путь .....светлая память...!🌺 🌺",OK
да было дело в деревне сорвешь наготок наклеишь и ходишь модничаешь,OK
я есть в 35 выкупе? не открывается..,OK
"потому как поправки в конституцию приняты, а то что в регионах намечаются выборы, главу государства мало интересует, а у регионов нет денег, чтобы сделать такую выплату.",OK
оплатила 3989 руб. за германию иарина николаевна м,OK
и сколько стоит на человека?,OK
отобрать машины и пересадить всех обратно на велосипеды 🚲,OK
"это улица перовского и она перекрыта,это само захват",OK
бог сильнее врачей,OK
"раис с празником, обажрись барашки и сдохни на обоченке",TOXIC
вы читали о чём разговор? или выцепили мой пост и решили начать вопрошать ? вам выше почитать и ко мне не пишите.для меня здесь разговор окончен. умничать можно и сам на сам.,OK
суппер акция!!!!!,OK
какой смысл народ дурить если сам дурак,OK
ей нельзя...гель польется😁,OK
такая милота просто прелесть,OK
"а синий ободок вокруг планеты - атмосфера? говорят, что она есть, но сильно разряженная.потому как при ударе метеорита в прошлом и вода и воздух улетели в космос.",OK
у нас на даче рос. цветки очень вкусно пахли.,OK
оо о об сас спасибо bа большое группа радуга открыток есжс чч,OK
та я не злюсь.. просто представляю сразу перед глазами крашенное чмо в лосинах и розовой майке.. и пидористической чёлкой ежесекундно окидываемую рукой назад.. такие у нас сейчас мужики...,TOXIC
"призыв1979,у нас боевой расчет в 20.00 и сутки с 20.00. и в 20.00-вся застава в сборе.",OK
полуфинал евро)))серебро дороже бронзы)),OK
как это? по шагово обьяснити.,OK
"согласна,щенков нужны с передержки отдавать,не ровен час,какому ни будь щенку,такими ногтями станет глаз!",OK
пойдем я приглашаю,OK
спасибо богу за все!🙏🙏🙏,OK
"а , ещё все лето на арбузах фруктах , что могли добыть , дома то не сидели как сечас",OK
на данный момент я не продала если интересуетесь звоните.,OK
спасибо за рецепт.я раньше делала-но сложнее.,OK
"сидит сука,в телефончик поигрывает! ему до лампады! пусть адвокатишка кипятком ссыт.",TOXIC
"не нравится, когда в изделии сквозь ткань выделяются детали одежды, здесь-карманы. такое впечатление, что руки надо постоянно держать в карманах, чтобы не портился внешний вид. это моё мнение.",OK
"любезный, а вы видели штатовский форд? покажите нам, удивите.",OK
с днюхой тебя.,OK
"я оформила 2июня в соцзащите, 5июня уже перечислили, хотя сказали что рассматривать булут до 10дней",OK
"да будет твоя воля,господи❤ ❤ ❤ 🙏",OK
"милая девушка, откуда вы взяли, что на православную церковь гонение? патриарх обласкан при дворе, привилегий полно, закрома ломятся, храмов строится огромное количество, чего ещё для счастья надо? или вы называете гонением справедливы, хоть и неприятные упрёки погрязшим в роскоши пастырям, двулично призавающим паству свою к нестяжательству? только не надо говорить, что рассказы о непозволительной роскоши патриарха и ижее с ним враньё, к сожалению всё правда, людей не обманешь.",OK
это ты мне,OK
"вся денежка на митинги ушла,касса пустая.",OK
"лена,доброе утро,киньте дружбу,мне нужна,карта колибри,очень,буду благодарна",OK
"сколько вам надо , пишите в личку.",OK
а всё.. всё уже а надо было раньше..,OK
"почему интересно не вернули туда, где взяли, а выкинули на смерть ребёнка...",OK
"китайцы всё могут, даже и сомневайтесь!☝👌",OK
привет хорошо сохранилась,OK
заросли нет проветривания и наверное влажности много я так перцы загустила и залила первые все сгнили вовремя спохватилась,OK
https://vk.com/id607961110 блядь лениса,TOXIC
как решить задачки великана подскажите пожалуйста,OK
"а может не к сожалению, а к счастью...😁😁😁",OK
ага.когда границу закрыли граждан россии кое-как вывезли из этой черногории.теперь опять🤦,OK
классный фильм .,OK
"дай, вам бог здоровья🙏",OK
ты что хотела? это ты не тыкал внимательно читаю и запоминаю кто что писал,OK
тоо работают механизаторами сергей тихонов андрей расходов и трактора к подготовить жвалово сейчас задача как следует них одна запчастей молодые нехватки посевной несмотря постоянные новой на пройдет на будет посевная готова сроку и люди заверили что техника к должном уровне стихонов на арасходов и снимке гивановой фото,OK
"та ладно, почему бы и нет)",OK
пиздюка соловьёва надо обязательно привезти в хабаровск на митинги ...,TOXIC
"беларусы берегите, цените батьку лукашенко, а то будет, как, в россии вся власть у олигархов, а народ холопы и скоторабы.",TOXIC
пф нету на инструкций,OK
можно фото каптильни,OK
"и в каких квартирах такие ванные комнаты???? красиво, да!!!",OK
и посмотрите в интернете что сахаров изобрёл,OK
ты мужик или женщина давай напиши номир,OK
"друзья мои верные, выручайте в трудном деле! для того чтобы задачу непростую выполнить нужна мне вещь редкая. мне не хватает: перо жар-птицы https://ok.ru/game/kingdom/?item=345219328446_1596439727_2/0/88",OK
не стоило уделять столько внимания и чести несовершеннолетнему!!!!!!!,OK
1. бараша 2. овечий сын 3. анна 4. крош 5. лили 6. хулиганом 7. тузя 8. титул мисс вселенная 9. хранительницу 10. вечный двигатель 11. капитан колобо 12. фантики и кактусы 13. резонансик и теломера 14. телефонную станцию 15. тигром,OK
"бедные баранов не имеют,",OK
бывает тишина зависнет ты мешай ей не не спеши о о в молчании созревают мысли молчание отдых для душил,OK
авто с армянскимы номерами выкупаете?,OK
"гайки от литья, до конца не притянули штампы, вот и разе.... ло...",OK
очень вкусное капучино!,OK
"надо добро вершить не для того,чтобы оценили. пусть это станет привычкой и мир станет прекрасней!",OK
фудбольная команда получилась,OK
62 чёрные и синие,OK
в таких органах нормальные люди не работают. все они там суки продажные,TOXIC
я не работаю и хозяйства у меня нет но и не собираюсь на допы бегать часто #u9b430ad4efs#,OK
"обалдеть! интересно, какие они на вкус?",OK
"из них, наверное.... или такие же как он, якобы,, историк,,. неучившийся.",OK
развели лахов,OK
"🤔хм.. лечили от короновируса 4 человека. умерли двое от ковид, а двое от чего-то другого...",OK
"чаще надо заниматься сексом,до потери пульса!",OK
пообщяемся киса,OK
"тут в деревне весело.. соседи шатер во дворе поставили гуляют, поют. 🎉💃🎹🎼🥁",OK
"эта от переработки такое еблище, работает за кусок хлеба. что-то у нас таких рах нет.",TOXIC
"изначально было понятно, что все будет оправданно.",OK
какой мужик такая и рыбка!!!,OK
"а за придурка можно и в глаз, паскудник.",TOXIC
пидорас он и есть пидорас,TOXIC
хамло и быдло....,TOXIC
"жуть! жажда иметь деньги ,а ответственность никого не интересует.....чужие жизни.....,никого не волнуют.....вот так и живьем,,,",OK
куда смотрят модераторы? это полный пиздец. дети вообще то тоже в сети сидят. дибилы конченые.,TOXIC
"я бы этих подростков за яйца повесила, хоть я и учительница! гады должны быть наказаны, как мне отец покойничек говорил, если над животными издевается в детстве, то и людей будет убивать, гаденыш! ненавижу таких отморозков, упырей! твари, почему таких земля носит, гадье. значит и родители у них такие недоноски.",TOXIC
"мастерица- рукодельница, умничка.",OK
видно что человек больной.шизофрения на лицо.у них свой взгляд на жизнь.,OK
"город кентау не только был , он и есть наша малая родина! спасибо за тёплые слова дорогая нина ! многие лета вам в радости и здравии ! !! 😊 😊 😊",OK
нет не стерилизовать а вырвать из нее все детородные органы живьем без применения каких либо мед препаратов не можешь прокормить или содержать дитя не расставляй тварь ноги простите меня за грубые слова я пожилая женщина но убивала бы этих тварей,TOXIC
первый христо продавец.,OK
"он плачет ,одинокий , обижен , добрый человек забери кутенка.некому за него заступиться.",OK
пидарок - ты хомячок навального ? 8oi 8oi 8oi,TOXIC
:-dвниз головой я тебе в рот буду давать чтобы давление крови показало себя через твой анус),TOXIC
желаю чтобы вам вне зависимости от погоды что б всё у вас было хорошо в любое улыбка время суток настроение отличным солнечной добрым сердце а душа открытой,OK
"доллар был по 60 копеек, да, но кто его имел, этот доллар- в тюрьму надолго-). нашли о чем сожалеть, радоваться надо что это закончилось.",OK
"красивый, настоящий, классный актер!!!",OK
уже несколько лет не меняется эта цифра.а цены то растут...,OK
"класс, очень хорошая хозяюшка, здоровья ей👍👍",OK
что делать??? график работы???,OK
и бы тждшщакйуйкшшхзоойх,OK
"царствие небесное и вечная память! хороший, светлый человечек была наша иринка! всегда с улыбкой шла по жизни. нам всем будет её не хватать. 😪😪😪😪😪",OK
по 5500рублей каждый месяц до декабря месяца,OK
"низкий поклон вам, серебряные искорки! да будет нетленным золотой огонёк в душе каждого, кто почувствует вас - живых и настоящих!",OK
ядрёну бондбу- кто купит бентли...типа для фирмы...въебал всех и сразу и ты в пачёте!!!:-d :-d :-d ;-),TOXIC
"это гадюка, ядовитая",OK
фото говорит совсем не о блеске в глазах😆,OK
"отлично! а мужики и нафиг не нужны, всё равно от них толку нет. веранда супер!!!👍👍👍",OK
тогда мы нищими и небыли. не думали как в больницу сходить .пото му что нет денег?как зуб вылечить сколько это стоит? а просто шли и лечились. в хирургии не ставили условия родственникам -сначала деньги потом операцию сделаем.и т.д.,OK
