text,toxic
а где это пидор харька загонял .у меня тоже на даче пидорасы картошку выкопали,1
сдохни тварь тупая пизда,1
обожаю творог,0
"Супер рубашка. Мне очень нравится. Быстрая доставка. 20 дней до Санкт-Петербурга. На фото ворот кажется больше, но это ничего страшного. Вещь в целом очень хороша. Тем более за такие деньги. Материал синтетика, но не противная. Буду ходить на работу в ней.",0
"фашистские недобитки поднимают свою предательскую голову.как таких не бить,из убить надо.твари,непомнящие своего родства ,или наоборот внуки предателей.за такое не грех по роже надавать .запудрили молодежи головы,все хотят в бандиты и в проститутки.а унитазы богатым мыть не хотите?так это даже будет чище чем то что вам уготовлено.вот эти фашистики поведут вас на закланье.вам украины мало?",1
"поколение отличное- больше спорта, меньше алкоголя! завидуйте молча, господа",0
"ну и хуйло же ты, алкаш обоссаный, иди на хуй отсюда, чмырь поганый",1
лукашенко надо вовремя уйти пока не скинули,0
путин слишком добрый президент ! сталина на вас пидор - в.. надо ...!!,1
"как же можно такое фото выставить на общее обозрение, неужели пройдет все безнаказанно. козел!!!",1
урод очко ему порвать😡,1
"если этот вопрос ко мне то отвечу что не выгодно ,и это не когда не было выгодно,выгодно держать корову от нее молочко ,мясо по крайней мере она себя могла прокормить,но сейчас не держат ,все покупают долгоиграющее молоко.молодое поколение разучилось работать,и опять же это труд не из легких,да еще и сопутствующие проблемы есть.",0
"конечно россия не заканчивается за уралом! как я раньше думала. родилась и выросла в свердловске. а вот дочь моя, влюбилась в новосибирск! закончила университет, работает, и не собирается никуда уезжать. пришлось и мне переехать в новосибирск. 10 лет привыкала. конечно мне казалось, что забытый богом и людьми это место. а теперь новосибирск похорошел, столько новых домов построили, новых дорог. намного чище стало.молодежи много. правительство новосибирска старается, работают.",0
"все бухают, но не все же пидарасы!?!?",1
ты себя с чайковским сравнил?или эту дуру раневскую?видно ты с ними-одного поля ягодичка...,1
путин пидарас и партия единая россия это воры в законе они уже это зделали,1
это главный пидораст,1
"спасибо огромное,побольше бы таких людей ,которым ни без различна судьба животных",0
гореть в аду падлам. я так считаю.,1
сильно..👍,0
"это я прикидываю , хма 33500 + потом ещё какие поломки найдут. спасибо за отзыв , я теперь начинаю немного понимать . буду настаивать делать сразу полный геном за 100 000 . а то прям какой то развод на деньги",0
"отправьте пидора к ополченцам в донецк, они знают, что делать...",1
посмотрите на ютубе видео с ней - как правильно дрочить.,1
"пидар на пидаре и пидором погоняет,,,",1
допиздишься прирежут тебя,1
"мразь какая! жаль, меня там не было с моим ротвейлером! дала бы урок и этому мужчине, и его собаке!",1
"ребята,не надо иронизировать,вам бы его проблемы...,интересно было бы посмотреть на вас в данной ситуации...",0
нам молится то некогда то лень а они молятся за нас,0
"и это при том, что население тм в разы уменьшилось.",0
"уже почти всю россию этот пидор путин продал или отдал но никто ничего не знает ,им все баблп мало потом свалить в европу ,а мы будем здесь отдуваться простой народ,вот так и будет ,все к этому идёт уже давно.ему народ не нужен только место президента ,чтобы воровать деньги народа и уничтожать всех в россии кто живёт .",1
а где в банках специи? рассол прозрачный.,0
а где можно посмотреть продолжение фильма,0
"это все понятно. но почему же даже не пытаются что-то делать столько лет. одни отговорки и обещания каждый год. приходит лето и все по новой. обещания, обещания, вот и лето прошло. до следующего года",0
"козел он е,,, учий и ты тоже х,,,ила , бандит у власти всю страну имеет , а ты тут пи,,,дишь 13тая - хренадцатая пошел на ху,,,й",1
сейчас еbреи в россии живут царски кобзона по из интервью,0
только французский поцелуй,0
"лилия, сама понимаю, что всё просто и понятно, но не так всё просто и понятно в моей семье с этим вопросом😊",0
в детском садике вкуснее хочуууу в дет сад.,0
"ты хуесос,что ты бормочишь,",1
почти 3 300 лет! какая тонкая работа!,0
да когда его уже расстреляют вместе с его притоном,1
"за такие деньги просто супер! 2тыс руб! заказ был 15.09 пришло 13.10 в спб курьером. нитки не торчат. мех искуственный, но выглядит норм. на размер 44-46 заказала М, в принципе можно было и L чтоб посвободнее было.",0
"в июле летела из симферополя до барнаула, впереди меня сидели 2 девушки и девочка лет 6-5. летели ночью, и вот эти девушки спали а девочке дали телефон и она всю ночь играла в него со звуком. я думала чокнусь. на замечания, они чуток убавили звук, но легче не стало. мама спит а ребенок ночь бомбит, мешая половине салона. где воспитание?",0
шотландский рисунок.,0
"уебищный.... ни смеха, ни ума",1
вот бы все так питались,0
оторвать и по морде родителям надовать,1
"не дубай, а ерунда какая-то! архитектор придурок!",1
мудак и провокатор .,1
"буцмаку ебало бы набить, да чую не в ростове эта падаль живет...",1
давить зажратых тварей надо !!!,1
"котика жалко,не хочет купаться.хозяева не мучайте его.",0
фуууууу! пусть теперь его дети и близкие обтекают дерьмом.,1
"нефть за двадцать лет скисла, разница в ценах на бензин - очистка от примесей, они даже в трубе транснефти попадались.... (ch)",0
как же хочется взять ак и мочить все это дерьмо зажравшееся!,1
"это пиzдец!!! если быстро и четко раздвигаешь ноги, то в 26 лет станешь генералом!!!",1
что за дебилы пишут такое!!! на деревнях весь мир держится!!! если бы чушь не писали я бы двумя руками класс поставила! на детях класс выпрашивать пошло!,1
ловите реактивных ворон и крыс....простые тоже дают но мало пружин,0
"яйца ему оторвать, твари такой8oi",1
"царствие небесное руслану! вечная память.слёзы на глазах и ком в горле🙏 🙏 🙏 :( :( :( ,а мразям хохлофашистским гореть в аду,вместе со всеми зеленскими,потрошенко,яйценюками,кровавыми пасторами ,белецкими,ярошами,аваковыми и другими хохлятскими ублюдками.",1
и у меня такая же головоломка была..сколько же воспоминаний...,0
за мужской стержень,0
черяев чтобы твои дохлые дети восстали и жили как ты нищий пидарасас хи хи сумасшедший коля оскорбляешь кого то посмотри на себя чмо пробитие сидишь на параше годами вылазишь поквакаешь и опять в болото заныриваешь понюхай мою писю лучше петух хи хи,1
"туда посадить этих тварей и поиздеваться над ними, в чем вина этого мишки, что он сделал плохого, сам не лезь и тебя никто не тронет.",1
собака находится в тольятти?,0
"рекомендуется делать массаж при следующих проблемах со здоровьем: 1.головные боли. сосуды расширяются, спазмы спины проходят. поэтому массаж полезен тем, кого мучают мигрени. 2.при проблемах с суставами. кровообращение восстанавливается, боль становится менее интенсивной, повышается подвижность суставов. 3.во время простуды. отечность слизистой оболочки бронхов уменьшается, кашель и одышка проходят. 4. при заболеваниях нервной системы. после нескольких сеансов вы начнете быстрее засыпать и энергичнее чувствовать себя по утрам, отметите, что улучшился аппетит. 5.гуаша также рекомендуется при проблемах с кожей – он помогает повысить ее эластичность и справиться с прыщами.",0
"ненавидят великую россию , потому что она сильная во всем , вот и бесятся как и хохложопые",1
"предлагаю начать с госдумы, сжечь их нахуй!",1
"зачем оскорблять людей,которые пишут комментарии....они высказывают свое мнение....я не считаю ее красавицей....симпатичная....но отнюдь не красавица.....и где вы видите ее порядочность...ее у нее просто нет....",0
"комсомольская от вас не отстает) коровы таскают эти пакеты( из первомайска свалку делают, это ужас товарищи😑 а раньше чистота и порядок всегда был😪",0
горы как мираж в тумане,0
"Товар к сожалению не пришел, но средства вернули",0
"это его мама по фильму, это же одноклассники, не википедия))",0
а вы смотрю все на картинки дрочите,1
может по этому ты старая и страшная? может быть по этому ты ебанутая и тебя никто не ебёт? может быть по этому ты тупая шмара выкладываеш сюда свои конченные фото?,1
урод ! сам не служил поэтому и не знает что такое погоны.-негодяй!,1
рассорелять нахуй пиdzzпg два раза,1
хирург ортопед есть в частном медцентре пегас.,0
"санаторий не работал, приходил в упадок, а вода не минеральная,но очень хорошего качества.",0
"извините, не было возможности ответить. бассейн продан.",0
"а что вы так за туристов переживаете? за жителей переживайте больше! но когда-то надо проводить реконструкцию дорог? средства появились и приступили к ремонту, всё просто! потерпите немного! вам не угодишь, в июле начали, опять не так, в ноябре опять не так.....",0
иди сюда паскуда твары р соло,1
Взяла размер L. На рост 164 рукава оказали очень маленькие :(,0
"сладкий обволакивающий аромат, карамельный, напоминает дюшес. 🌷",0
что за полка для книг стоимость,0
"благодарю тебя, герой, за твое мужество и смелость! огромная благодарность родителям за такого прекрасного сына. сердце распирает от гордости за геройский поступок десятилетнего мальчика.❤ ❤ ❤ ❤ ❤ ❤ ❤",0
"везут отходы ядерные в рашу, а у раши есть бн-800, и новый бн-1200, фсё враньё ...россия успешно перароботоли ядерного уран-циркониевого топлива.",0
все пидоросы такие безмозглые,1
может как нибудь познакомимся,0
"если не верить?, то как жить?",0
"слушвй хохляра, вы проебали украину, а теперь ты обвиняешь всех и вся.",1
вся сибирь охринелноа от твоей кра́соты́,0
"слава богу за всё... всем день добрый! вам, татьяна, спасибо.",0
"жестокий мир, жестокие сердца. почему, когда убивают животное, мы опрвдываем посьупок? когда убивают человека, мы осуждаем поступок? сейчас везде сплошное = !",0
на кол ее!хотя нет она же на нем удовольствие будет получать.на лесоповал! вот!,1
просто дура набитая,1
"слышь, чмо, этот пидор никогда наш не был! это вы, пенсионеры, совесть продали на выборах!",1
"придурки в мавзолее и кремлевской стене, придурки в цк и кгб, и так до культурных работничков на местах. а что вы хотели от придурков которые и вправду считали что в ссср лучшее образование в мире, сотни миллионов школьников и студентов учили английский язык, но говорить умели только студенты мгимо и то те все стояли на учете в кгб",1
а сколько стоит такой участок?,0
с днем желзнодорожника ч,0
и гореть им там вечно,1
"подругам врать нельзя, подругам надо писать всегда правду, - каряга, кикимора или обезьяна например... лучше горькая правда чем сладкая ложь )))",1
"блядей с нехто, надо брать за яица, и судить в белоруссии, показным судом.",1
мать посадить и решить родительских прав а его и вообще казнить за такое зверь,1
скоро пидорам пизда,1
нет таких не к смертной казни приговаривать надо. таких надо обрикать на медленную смерть чтоб другим не по важно было.,1
тебе самому без подсказки что слабо,0
"во говно с тебя быдла поперло, а знаешь почему? потому, что ты уверен, что тебе челюсть не сломают! такие герои как ты в реале писаются и даже какаются когда им доступным языком объясняешь что оно и где его место! кречет ты пестрожопый! как говорила фаина раневская под павлиньим хвостом обычная куриная жопа! это про тебя!",1
"вроде в годах, а чешешь, как пацан вчерашний.., ум покидать тебя начал, или всегда такой был?:o",0
я бы тебя хотел трахнуть,1
боженька что же в этой твари в голове что на серце если у нее есть как можна твар одним словом,1
"хуйло бородатое, прозрел что ли!!!",1
"это наши тёрки с ней... вы каким боком? все.. пиздуй нахуй... не до тебя мне... с людьми желаю общаться, а не с ошметками",1
он ей вдувает),1
челси удачи!!!!:),0
пидар... приставать ему к башке и заставить копать себе... опустив при этом...,1
кремлёвский пидор,1
муж гулял от такой??? у него нет вкуса.,0
а отсосать оппозиция не хочет?,1
дибилойд не русский😂😂😂😂 ебло завали свое. и драчись молча-хуйло😂😂😂😂 утырок,1
ну ты мать и дура надо дочь с ребёнком спасать а таких уродов не исправить,1
"ебать,вот бы их заноги привезать с камнем и медленно по дну протащить",1
евгения александровна красавица в любом белье!!!??,0
.спокойны ночи!,0
это правда у меня был джек собака он сомной постоянно разговаривал,0
"на хуй мне твои гости. иди на хуй уже, ёбань тухлая.",1
есть за что довела наверное баба..,0
о б ов кб с в в gо служба бо диспетчер с с отправить журнал вызовов в избранные овчбб мобильный мелодия по умолчанию и ог код,0
"никогда не оскорблял мужчин, наоборот, со мной рядом любимый человек, который достоин называться мужчиной в отличии от тебя сопляк. кроме как брать и вертеть сказаное мной у тебя на большее и мозгов не хватит. ты трус по тебе видно, fake профиль, fake фото. ты общественный мусор и уже разлагаешься. ты не мужчина, не человек, ты гнида. тебе так пративно на себя смотреть что ты даже не захотел ставить реальные фото в профиле, нашёл фото того как мечтаешь выглядеть в реале, но увы, это нет ты, ты мразь. а блядь блядская это то что тебя на этот мир выбросило. это была не женщина, не животное, даже не паразит. так что пиши тут дальше свой маразм который никого не интересует, обратись к психиатру, пусть он тебе пропишит таблетки, хотя нет лучше яд. воняй себе дальше под нос, говно!",1
"н
НЕ ПОКУПАЙТЕ!!!!!!!!!!!
этот пидрила сука
прислал полную хуйню 
сшито ужасно!! ткань полное дерьмо!! а наклейка ещё и с синеватыми пятнами!!!!
и не вернул мои деньги!!!!!",1
все они одинаковые пиздоболы,1
привет. а ты от куда.,0
проще простого легко и быстро и очень вкусно испекла всем понравился теперь самое главное никаких заморочек спасибо за рецепт!,0
уволить!? на кол её!!!,1
"сам сука чмо ебанное по-руски писать научись, пидор ебанный.",1
этих тварей на костре заживо сжигать надо.,1
если матем не забыла первой умножения потом сложение:d,0
"эти парты намного удобней тех , что взамен поставили.",0
идите нахуй на барикады.это группа ачинское вату,1
спасибо за идею!очень красиво и практично!,0
"это только кажется, что не из чего...вы безнадежно глупы...эх...😒",0
"кусать то не будут... но когда они гундят, убить любого готов",1
"странно то что ,ему не дали договорить в прямом эфире , а теперь метут пургу за него!",0
расстрелять нахер.,1
так это действует или нет как быть,0
а белорусы займутся сосанием без соли ...,1
на хуй волка позорного и шкуру на продол.,1
"я тоже не знаю,но как она сказала,а я запомнила ,так и к большому вашему и нашему сожалению получилось. у меня невестка из полоцка .сбежала сначала в питер,а потом.в москву,где и вышла замуж за сына и все не может уняться со своей независимостью.",0
"слушай автор, так а что ты не агитируншь украл чиновник расстрел, взятку взял расстрел, пошёл против народа растрел. а то я смотрю сравниваешь как тебе удобно.",1
"ну и дура, 21 век уже наступил давно, в аптеках полно лекарств,сходи на прием к врачу, врач назначит лечение.",0
"собрала крыжовника попробую ,что получится",0
подождём немного ему ещё медаль вручат что всего одного человека убил,0
"не ешь меня лиса,я тебе песенку спою;) :d",0
где вы нпходитесь,0
поживём увидим доживём узнаем выживем учтём,0
"думаю стоит памятник поставить,все таки россию поднял после вов",0
пошол на хуй валуев пьяница ⏫,1
"парни , шершавой дороги и без гвоздей !!!.",0
"о еап узнала на 25 неделе, когда делали 4д узи в екб. врач там подробно объяснил все риски, удивился что до этого на предыдущих узи не заметили. когда пришла на прием к своему врачу она назначила доплер, и постоянное ктг. к слову ребёнок родился здоровым, каких аномалий не наблюдали",0
"владимир вольфович, не стоит советовать белоруссии как жить, лучше в своей стране порядок навести. а то при рекомендациях таких партийцев как дегтярев, можно и без места в своей думе остаться.во всяком случае я за лдпр не отдаю свой голос.",0
"зашибись живем, народ!- работа, дом и огород... )))",0
в калининграде одной на из улиц автомобиль провалился под асфальт власти сразу обвинили в этом немцев они заявили что авария произошла на месте старого немецкого коллектора просим прощения не смогли сеазу с о лет поетерить,0
здорово но это уже редкость,0
"не знаю точно где на западе, в комп загрузили фото известных красавчиков. делон, даже в таком почтенном возрасте, оказался на первом месте.",0
занятия начались в парке солнечного берега. приглашаем людей золотого возраста.,0
поменяться если ваша мне подойдет. другой район нужен,0
ахаххах опять за призывы к суициду забанили пидарасы,1
"сука! беззащитное животное избить, которое не может себя защитить. тварь , гореть тебе в аду!🔥🔥🔥",1
в пропасть... .,0
синюю змею еще не отдали,0
северяночка я фохххххбх бббчббечиб вести из дурки бб климкин если путин поймет не с первого раза то белоруссией украина побед поделится с секретами россией над б оз р оо тшиттег гог апdгоиd ч авг,0
ты сука бога хоть сюда не мешай !! иди корми своих свиномордых бездельников !!,1
чему детей учат....,0
ну надо же.... это где ж лисята так свободно на машинах засыпают?,0
на 12:45 вам удобно?,0
"Сама по себе блузка не плохая.но мне не повезло пришла грязная вся в крапинку.открыла спор,но его закрыли.пришла быстро за 2 недели.",0
"пошол он нахуй, продажное чмо",1
"пока не заработаешь , ни придут.",0
"великая вещь ностальгия, именно такая, как в этих комментартях ( что посеешь, то и пожьнёшь-это я о авторе рассказа о хлебе👍👍👍), очень редко участвую в такого рода общении ( ненавижу чернуху, споры, ссоры).вспомнила вкус кукурузного хлеба, я его просто обожала ( аж слюнки потекли😘), да и сейчас люблю приложиться к корочке (если бы не корона, но это временно).т.ч. я с радостью повспоминала🙌👍👏",0
мудак на чото надеется а хуеплет защищает черти одного на вышку 12 ку а второго на хуй что бы больше не было желания защищать подобное,1
где печать вашим доказательствам?! )),0
"браво, приятный голос. главное, чтобы не зазвездился. творческих успехов и содержательных песен.",0
Велико,0
"стираю хоть гель,хоть капсулы,далее на влажные вещи щёточкой наношу ушастый нянь не разбавляя,потом в пакетик и до утра.от пятен и нет следа! попробуйте,все пятна выводит!",0
подмывай пизду и ноги и ты уже в дороге. ебанутая на всю голову. пороть тебя сука будут там. для этого и приглашена. 😄,1
здравствуйте у вас будет такая запчасть?,0
не подовись пидрило👎,1
"вы че ебнулись? какая интеграция? это нам нахуй не надо, так же как эти 33 не понятных неадыквата, если бы не наши паспорта, коленька лукашенко в солдатики ими на даче играл",1
потому что получаем многодетные,0
"пришли какие то 457 р , только что это безпонятия",0
всё класс👍 но не к месту😉и так сайдет,0
"я скажу одно, тебя и все что ты поимел чёрт накажет",0
"ага,вот если бы все соблюдали меры.....а то нет вируса,фомы неверующие.😷",0
иди ищи поддержку у порватой многоразовый пизды.,1
ты чё дура доебалась до меня. тоже деньги ждёшь?? 🤣🤣🤣работать надо.,1
в пизду ихх,1
сказочный долбоеб....,1
старый шротобвешаный лампочками.,0
с такой от зари до зари нежится нужно.,0
продам стартер на ваз 2101-07(новый),0
какой красавчик !!!,0
"надо за ним проследить, встретить без формы, поставить на колени и обоссать прилюдно!!! гондона!!! чтоб другим не повадно было!!! кто за???",1
"можно ещё в мега экспресс дать объявление, люди с газетки обращаются тоже. я так с работы котёнка пристроила.",0
"но такой то хуйни как в усрайне нет,пока.",1
"кто нибудь знает ,есть ли в нашем дочки сыночки , вожки -страховка?",0
"твари, уроды, скоты. опеку тоже судить, как соучастников.",1
"как земля таких уродов носит,чтоб руки у него отсохли",1
"эта свинота ебаная валентина матвеенко бывшая питерская проститутка, ей похуй на байкал и на вырубку лесов..она же сказала это к закону не имеет никакого отношения и вы со своей темой не по адресу..",1
"когда сносить планируете дома в районе улица базарная, 158, в советские времена ещё обещали. лично мне и моим детям от всех ваших партий пользы и выгоды никакой. о себе только думаете.",0
"не то что посадить, застрелить надо таких ублюдков.",1
"да ты евгений пидорок,даже фотку скрыл.боишься что получишь людей и омон не поможет?",1
"прайс мне плииииз. я умерла просто, всё хочу, лена!",0
да бухар дэбилы бля! памперсы ни забудьте,1
"добрый день, сегодня пробовали сварить в камере титан синеет есть ли сложности в подачи аргона в камеру.",0
условия? сумма?,0
"надо всю команду поваров- кондитеров, что над этим тортом работали показывать, а не одного шефа арзамазова, без своей команды у него бы ничего не получилось.( любитель вечно себе все лавры- в одно лицо)))",0
"раз они не желают работать вместе над улучшением состояния хакасии на до их убирать . нарушения есть , недоверие есть и надо находить способы избавляться от этих палок в в колёсах. дело будет идти только лучше. и уфасу надо тоже задуматься, для чего они существуют в республике, для того чтобы помогать работать или для создания тормоза в развитии.",0
если война будит то мы будим казнить врагов тех которых наши деды прадеды не добили в 1945 году а если эта мразь поможет украине то ему хана придёт,1
"а толку, эти мрази что у власти давно всё решили, единственный вариант путина с его прихлебателями долой",1
клара ссылка на фото не открывается пишет нет такой,0
"здравствуйте, номер скиньте",0
"я помню, красному знамени и ссср",0
"это хорошо, давно пора. еще бы у весны сделали дорожки, а то с двух сторон провалы, невозможно проити. там всего-то надо немного доделать две дорожки, а как будет удобно.",0
"уважаемая техподдержка! как получить 1500, 1000 монет, стрелу, заработанные в игре?",0
клёвые какие🥰,0
способ в россии выявить пидоров нашли как внесли конституции поправку к статью о союзе в браке мужчиной женщиной второе только между и и что не коем не территории в случае отчуждать нашей кто пойдет на референдум страны не значит он значит пидор поправок против этих вот гомиков так и выявят всех,1
приятно познакомиться!,0
"эти твари, им отрубить надо руки чтобы не могли больше поднять и держать ложки эти не люди,какой позор деду которой воевал с фашистами.",1
"это жопа мира! диетолога в студию!!!! и парикмахера!!!! деньги есть, но на себя не тратит, копит, ждет))))))))))))))",1
полторы ложки,0
"там несколько человек оруть уходи он то уйдет, после его ухода что будете делать будете америкосам и европейцам одно место сосать и лизать что не видете что творится в украине или в других странах где рулять америкосы, или вы думаете что вас примуть в евросоюз хуй вы угадали придурки это тем кто бастует бараны. кому будеть нужна ваша картошка и трактора , развалять заводы и фабрики и что будете делать.",1
ебанашка...у неё не было детства,1
"если ты идиотка и дура, то не надо думать так о других! если пидары тебе по душе, то это твои проблемы! вот о таких как ты я и писала что вас нужно убивать вместе с ними.",1
как вы можете такое писать вешать вас надо и только вешать какойто хайбулаев вчера только научился писать и уже пишешь гадости скажи это своей матери и сестре урод проклятый,1
наврятли к ней кто то лез!к этой жиробастой свинине!бедный мужик весом взяла!в фитнесе бы свой вес валила свиноматка бля фууууу👎👎👎👎,1
метро молодёжнийдан койка место бори метрога 10 минут квартиры тоза и тич 89165347633,0
"наисвятейший патриарх московский. а как же насчет - никто не без греха ?! а говорят:- наигранная святость, хуже блядства .",1
